Player,Set,Offense Type,Defense,Location,mm,kb
Michael,1,hard driven,,5,,
Ben,1,hitting error,,,1,
Mark,1,hitting error,,,,1
Mark,1,hitting error,,,,1
Michael,1,hitting error,,,,1
Michael,1,hitting error,,,,1
Michael,1,hitting error,,,,1
Ben,1,service error,,,1,
Mark,1,service error,,,,1
Michael,1,service error,,,,1
Ben,1,block,,,,1
Kyle,1,block kill,,2,,1
Mark,1,block kill,,5,1,
Ben,1,block shank,,,,1
Kyle,1,cut shot,,4,,1
Michael,1,cut shot,,4,1,
Mark,1,hard driven,,5,1,
Mark,1,hard driven,,1,1,
Michael,1,hard driven,,5,1,
Michael,1,hard driven,,1,1,
Ben,1,hit shank,,,,1
Kyle,1,hit shank,,,,1
Mark,1,hit shank,,,1,
Mark,1,hit shank,,1,1,
Michael,1,hit shank,,,1,
Michael,1,hit shank,,,1,
Michael,1,hit shank,,,1,
Kyle,1,roll shot,,6,,1
Mark,1,roll shot,,2,1,
Michael,1,roll shot,,1,1,
Michael,1,roll shot,,1,1,
Ben,1,serve shank,,,,1
Kyle,1,serve shank,,,,1
Michael,1,serve shank,,,1,
Michael,1,serve shank,,,1,
Michael,1,serve shank,,,1,
Ben,1,tip,,1,1,
Kyle,1,tip,,5,,1
Michael,1,tip,,4,1,
Ben,1,tool,,,,1
Ben,1,tool,,,,1
Mark,1,tool,,,1,
Ben,1,tool,,,,1
Mark,1,touch,,5,1,
Ben,1,,dig,4,,
Kyle,1,,dig,3,,
Mark,1,,dig,4,,
Mark,1,,dig,5,,
Mark,1,,dig,4,,
Michael,1,,dig,5,,
